RMS Objects To Support For LLVM's Debugger In GNU Emacs's Gud.el,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/q4E0Ummr__A/story01.htm,"An anonymous reader writes with the news that Richard Stallman is upset over the prospect of GNU Emacs's Grand Unified Debugger (Gud.el) supporting LLVM's LLDB debugger. Stallman says it looks like there is a systematic effort to attack GNU packages and calls for the GNU to respond strategically. He wrote his concerns to the mailing list after a patch emerged that would optionally support LLDB alongside GDB as an alternative debugger for Emacs. Other Emacs developers discounted RMS' claims by saying Emacs supports Windows and OS X, so why not support a BSD-licensed compiler/debugger? The Emacs maintainer has called the statements irrelevant and won't affect their decision to merge the LLDB support.<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=RMS+Objects+To+Support+For+LLVM's+Debugger+In+GNU+Emacs's+Gud.el%3A+http%3A%2F%2Fbit.ly%2F1KxwGqU""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fdevelopers.slashdot.org%2Fstory%2F15%2F02%2F08%2F210241%2Frms-objects-to-support-for-llvms-debugger-in-gnu-emacss-gudel%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://developers.slashdot.org/story/15/02/08/210241/rms-objects-to-support-for-llvms-debugger-in-gnu-emacss-gudel?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://developers.slashdot.org/story/15/02/08/210241/rms-objects-to-support-for-llvms-debugger-in-gnu-emacss-gudel?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=6934855&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/432d38e9/sc/4/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/218611587795/u/49/f/647410/c/35028/s/432d38e9/sc/4/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611587795/u/49/f/647410/c/35028/s/432d38e9/sc/4/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611587795/u/49/f/647410/c/35028/s/432d38e9/sc/4/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611587795/u/49/f/647410/c/35028/s/432d38e9/sc/4/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611587795/u/49/f/647410/c/35028/s/432d38e9/sc/4/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611587795/u/49/f/647410/c/35028/s/432d38e9/sc/4/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/218611587795/u/49/f/647410/c/35028/s/432d38e9/sc/4/a2.htm""><img src=""http://da.feedsportal.com/r/218611587795/u/49/f/647410/c/35028/s/432d38e9/sc/4/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/218611587795/u/49/f/647410/c/35028/s/432d38e9/sc/4/a2t.img"" border=""0""/><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/q4E0Ummr__A"" height=""1"" width=""1"" alt=""""/>"
Rare Case of Conjoined Lizard Twins Reported at Zoo (Discovery),http://news.feedzilla.com/en_us/stories/science/420978512?client_source=api&format=json,"The lizards' heads and abdominal tissues were conjoined, but each had a body
that was generally well-developed.

"
Reducing Lifestyle Diseases Means Changing Our Environment (Scientific American),http://news.feedzilla.com/en_us/stories/science/420643858?client_source=api&format=json,"I've always found gyms a bit strange. Think about it: Dozens of people
sweating in close proximity, running on conveyor belts going nowhere, lifting
and dropping heavy objects for no reason.


-- Read more on ScientificAmerican.com

"
Replacing the Turing Test,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/j2aAUur8xpY/story01.htm,"mikejuk writes A plan is afoot to replace the Turing test as a measure of a computer's ability to think. The idea is for an annual or bi-annual Turing Championship consisting of three to five different challenging tasks. A recent workshop at the 2015 AAAI Conference of Artificial Intelligence was chaired by Gary Marcus, a professor of psychology at New York University. His opinion is that the Turing Test had reached its expiry date and has become ""an exercise in deception and evasion."" Marcus points out: the real value of the Turing Test comes from the sense of competition it sparks amongst programmers and engineers which has motivated the new initiative for a multi-task competition. The one of the tasks is based on Winograd Schemas. This requires participants to grasp the meaning of sentences that are easy for humans to understand through their knowledge of the world. One simple example is: ""The trophy would not fit in the brown suitcase because it was too big. What was too big?"" Another suggestion is for the program to answer questions about a TV program: No existing program &mdash; not Watson, not Goostman, not Siri &mdash; can currently come close to doing what any bright, real teenager can do: watch an episode of ""The Simpsons,"" and tell us when to laugh. Another is called the ""Ikea"" challenge and asks for robots to co-operate with humans to build flat-pack furniture. This involves interpreting written instructions, choosing the right piece, and holding it in just the right position for a human teammate. This at least is a useful skill that might encourage us to welcome machines into our homes.<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Replacing+the+Turing+Test%3A+http%3A%2F%2Fbit.ly%2F1DtEvvO""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fhardware.slashdot.org%2Fstory%2F15%2F02%2F08%2F1751201%2Freplacing-the-turing-test%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://hardware.slashdot.org/story/15/02/08/1751201/replacing-the-turing-test?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://hardware.slashdot.org/story/15/02/08/1751201/replacing-the-turing-test?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=6934345&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/432c7663/sc/4/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/219132827293/u/49/f/647410/c/35028/s/432c7663/sc/4/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/219132827293/u/49/f/647410/c/35028/s/432c7663/sc/4/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/219132827293/u/49/f/647410/c/35028/s/432c7663/sc/4/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/219132827293/u/49/f/647410/c/35028/s/432c7663/sc/4/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/219132827293/u/49/f/647410/c/35028/s/432c7663/sc/4/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/219132827293/u/49/f/647410/c/35028/s/432c7663/sc/4/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/219132827293/u/49/f/647410/c/35028/s/432c7663/sc/4/a2.htm""><img src=""http://da.feedsportal.com/r/219132827293/u/49/f/647410/c/35028/s/432c7663/sc/4/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/219132827293/u/49/f/647410/c/35028/s/432c7663/sc/4/a2t.img"" border=""0""/><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/j2aAUur8xpY"" height=""1"" width=""1"" alt=""""/>"
"Sites Featuring ""Terrorism"" Or ""Child Pornography"" To Be Blocked In France",http://rss.slashdot.org/~r/Slashdot/slashdot/~3/u13MmaOUadI/story01.htm,"Advocatus Diaboli writes with this excerpt from Ars Technica: Now, the General Directorate of the National Police and its cybercrimes unit will be able to request that sites serving terrorist or pedophilia-related content be blocked by Internet Service Providers serving people in France and its territories. ISPs then have to comply with the request within 24 hours. ISPs will be able to request compensation from the French government for any extra costs incurred in blocking the sites. Users who navigate to a site 'to which access is prohibited will be led to an informational page from the Ministry of the Interior,' the text of the decree said. The informational page will list the grounds for the blocking as well as any possibly remedies. Every quarter, French authorities will check whether the blocked pages still contain the offending material. If not, then the authorities will contact ISPs, which will have to unblock the sites, again within 24 hours.<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Sites+Featuring+%22Terrorism%22+Or+%22Child+Pornography%22+To+Be+Blocked+In+France%3A+http%3A%2F%2Fbit.ly%2F1A0e6X4""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fyro.slashdot.org%2Fstory%2F15%2F02%2F07%2F2244243%2Fsites-featuring-terrorism-or-child-pornography-to-be-blocked-in-france%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://yro.slashdot.org/story/15/02/07/2244243/sites-featuring-terrorism-or-child-pornography-to-be-blocked-in-france?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://yro.slashdot.org/story/15/02/07/2244243/sites-featuring-terrorism-or-child-pornography-to-be-blocked-in-france?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=6928647&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/4327f9f1/sc/4/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/218611565914/u/49/f/647410/c/35028/s/4327f9f1/sc/4/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611565914/u/49/f/647410/c/35028/s/4327f9f1/sc/4/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611565914/u/49/f/647410/c/35028/s/4327f9f1/sc/4/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611565914/u/49/f/647410/c/35028/s/4327f9f1/sc/4/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611565914/u/49/f/647410/c/35028/s/4327f9f1/sc/4/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611565914/u/49/f/647410/c/35028/s/4327f9f1/sc/4/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/218611565914/u/49/f/647410/c/35028/s/4327f9f1/sc/4/a2.htm""><img src=""http://da.feedsportal.com/r/218611565914/u/49/f/647410/c/35028/s/4327f9f1/sc/4/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/218611565914/u/49/f/647410/c/35028/s/4327f9f1/sc/4/a2t.img"" border=""0""/><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/u13MmaOUadI"" height=""1"" width=""1"" alt=""""/>"
"SpaceX Launch of ""GoreSat"" Planned For Today, Along With Another Landing Attempt",http://rss.slashdot.org/~r/Slashdot/slashdot/~3/Qvcrtp_6s74/story01.htm,"The New York Times reports that SpaceX will again attempt to recover a Falcon 9 launch vehicle, after the recent unsuccessful try; the company believes the lessons from the earlier launch have been learned, and today's launch will be loaded with more hydraulic fluid. This evening, the rocket is to loft the satellite nicknamed ""GoreSat,"" after Al Gore, who envisioned it as a sort of permanent eye in space beaing back pictures of Earth from afar. The purpose of the satellite has evolved, though: Writes the Times: The observatory, abbreviated as Dscovr and pronounced &ldquo;discover,&rdquo; is to serve as a sentinel for solar storms: bursts of high-energy particles originating from the sun. The particles from a gargantuan solar storm could induce electrical currents that might overwhelm the world&rsquo;s power grids, possibly causing continent-wide blackouts. Even a 15-minute warning could let power companies take actions to limit damage.<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=SpaceX+Launch+of+%22GoreSat%22+Planned+For+Today%2C+Along+With+Another+Landing+Attempt%3A+http%3A%2F%2Fbit.ly%2F1us2GsF""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fscience.slashdot.org%2Fstory%2F15%2F02%2F08%2F1547257%2Fspacex-launch-of-goresat-planned-for-today-along-with-another-landing-attempt%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://science.slashdot.org/story/15/02/08/1547257/spacex-launch-of-goresat-planned-for-today-along-with-another-landing-attempt?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://science.slashdot.org/story/15/02/08/1547257/spacex-launch-of-goresat-planned-for-today-along-with-another-landing-attempt?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=6933975&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/432b96e2/sc/32/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/218611590860/u/49/f/647410/c/35028/s/432b96e2/sc/32/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611590860/u/49/f/647410/c/35028/s/432b96e2/sc/32/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611590860/u/49/f/647410/c/35028/s/432b96e2/sc/32/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611590860/u/49/f/647410/c/35028/s/432b96e2/sc/32/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611590860/u/49/f/647410/c/35028/s/432b96e2/sc/32/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611590860/u/49/f/647410/c/35028/s/432b96e2/sc/32/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/218611590860/u/49/f/647410/c/35028/s/432b96e2/sc/32/a2.htm""><img src=""http://da.feedsportal.com/r/218611590860/u/49/f/647410/c/35028/s/432b96e2/sc/32/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/218611590860/u/49/f/647410/c/35028/s/432b96e2/sc/32/a2t.img"" border=""0""/><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/Qvcrtp_6s74"" height=""1"" width=""1"" alt=""""/>"
SpaceX rocket to launch weather satellite into deep space (reuters),http://news.feedzilla.com/en_us/stories/science/421103625?client_source=api&format=json,"CAPE CANAVERAL, Fla. (Reuters) - A SpaceX rocket is scheduled on Sunday to
launch a U.S. satellite from deep storage to deep space, where it will keep
tabs on solar storms and image Earth from nearly 1 million miles (1.6 million
km) away.







"
Swatting 19-Year-Old Arrested in Las Vegas,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/vna3fJnVNVg/story01.htm,"Ars Technica reports that a Las Vegas teenager is in custody for multiple instances of swatting: Brandon Wilson, who goes by the online handle ""Famed God,"" was arrested Thursday in Nevada and faces an extradition hearing to determine whether he should be sent to face hacking and other charges. Illinois prosecutors said there was evidence on his computers about the July 10 swatting incident, in which he allegedly reported a murder to Naperville's emergency 911 line. The SWAT team responded, but the call was a hoax. The Chicago-Sun Times said that, in addition to the Naperville incident, the suspect's computers held evidence ""of similar incidents across the country.""<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Swatting+19-Year-Old+Arrested+in+Las+Vegas%3A+http%3A%2F%2Fbit.ly%2F1DQ2Da6""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fyro.slashdot.org%2Fstory%2F15%2F02%2F07%2F221258%2Fswatting-19-year-old-arrested-in-las-vegas%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://yro.slashdot.org/story/15/02/07/221258/swatting-19-year-old-arrested-in-las-vegas?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://yro.slashdot.org/story/15/02/07/221258/swatting-19-year-old-arrested-in-las-vegas?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=6928395&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/4327a096/sc/21/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/218611548281/u/49/f/647410/c/35028/s/4327a096/sc/21/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611548281/u/49/f/647410/c/35028/s/4327a096/sc/21/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611548281/u/49/f/647410/c/35028/s/4327a096/sc/21/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611548281/u/49/f/647410/c/35028/s/4327a096/sc/21/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611548281/u/49/f/647410/c/35028/s/4327a096/sc/21/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611548281/u/49/f/647410/c/35028/s/4327a096/sc/21/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/218611548281/u/49/f/647410/c/35028/s/4327a096/sc/21/a2.htm""><img src=""http://da.feedsportal.com/r/218611548281/u/49/f/647410/c/35028/s/4327a096/sc/21/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/218611548281/u/49/f/647410/c/35028/s/4327a096/sc/21/a2t.img"" border=""0""/><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/vna3fJnVNVg"" height=""1"" width=""1"" alt=""""/>"
"The First Ubuntu Phone Is Here, With Underwhelming Hardware",http://rss.slashdot.org/~r/Slashdot/slashdot/~3/RMF_TGvbpew/story01.htm,"A few days ago, Fast Company reviewer Jay Cassano was enthusiastic about Ubuntu's approach to apps for its new phone OS: namely, not relying on them, and instead interfacing seamlessly with existing websites and protocols. Now, new submitter ablutions (4006541) writes with a less than glowing review at The Daily Dot of the actual hardware that the OS is launching on. A sample that conveys the gist: Let's start with the good stuff: It sports a 4.5-inch multi-touch screen and a respectable 8-megapixel rear camera and 5-megapixel lens on the front. That's pretty much it. The list of negatives is a bit longer.<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=The+First+Ubuntu+Phone+Is+Here%2C+With+Underwhelming+Hardware%3A+http%3A%2F%2Fbit.ly%2F1EP4X4x""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Ftech.slashdot.org%2Fstory%2F15%2F02%2F08%2F0034236%2Fthe-first-ubuntu-phone-is-here-with-underwhelming-hardware%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://tech.slashdot.org/story/15/02/08/0034236/the-first-ubuntu-phone-is-here-with-underwhelming-hardware?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://tech.slashdot.org/story/15/02/08/0034236/the-first-ubuntu-phone-is-here-with-underwhelming-hardware?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=6929311&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/4328b74b/sc/5/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/218611551625/u/49/f/647410/c/35028/s/4328b74b/sc/5/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611551625/u/49/f/647410/c/35028/s/4328b74b/sc/5/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611551625/u/49/f/647410/c/35028/s/4328b74b/sc/5/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611551625/u/49/f/647410/c/35028/s/4328b74b/sc/5/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/218611551625/u/49/f/647410/c/35028/s/4328b74b/sc/5/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/218611551625/u/49/f/647410/c/35028/s/4328b74b/sc/5/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/218611551625/u/49/f/647410/c/35028/s/4328b74b/sc/5/a2.htm""><img src=""http://da.feedsportal.com/r/218611551625/u/49/f/647410/c/35028/s/4328b74b/sc/5/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/218611551625/u/49/f/647410/c/35028/s/4328b74b/sc/5/a2t.img"" border=""0""/><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/RMF_TGvbpew"" height=""1"" width=""1"" alt=""""/>"
The Man Squatting On Millions of Dollars Worth of Domain Names,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/CDO-y5OVDwc/story01.htm,"Jason Koebler writes For the last 21 years, Gary Millin and his colleagues at World Accelerator have been slowly accumulating a veritable treasure trove of seemingly premium generic domain names. For instance, Millin owns, has sold, or has bartered away world.com, usa.com, doctor.com, lawyer.com, comic.com, email.com, cyberservices.com, and more than 1,000 other domain names that can be yours (including yours.com, which he owns), as long as you've got the startup idea to back it up. Millin doesn't sell domain names anymore, instead, he trades them to startups in exchange for a stake in the company.<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=The+Man+Squatting+On+Millions+of+Dollars+Worth+of+Domain+Names%3A+http%3A%2F%2Fbit.ly%2F1IqgUQW""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Ftech.slashdot.org%2Fstory%2F15%2F02%2F07%2F2038213%2Fthe-man-squatting-on-millions-of-dollars-worth-of-domain-names%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://tech.slashdot.org/story/15/02/07/2038213/the-man-squatting-on-millions-of-dollars-worth-of-domain-names?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://tech.slashdot.org/story/15/02/07/2038213/the-man-squatting-on-millions-of-dollars-worth-of-domain-names?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=6927899&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/43276879/sc/4/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/219132806522/u/49/f/647410/c/35028/s/43276879/sc/4/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/219132806522/u/49/f/647410/c/35028/s/43276879/sc/4/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/219132806522/u/49/f/647410/c/35028/s/43276879/sc/4/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/219132806522/u/49/f/647410/c/35028/s/43276879/sc/4/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/219132806522/u/49/f/647410/c/35028/s/43276879/sc/4/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/219132806522/u/49/f/647410/c/35028/s/43276879/sc/4/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/219132806522/u/49/f/647410/c/35028/s/43276879/sc/4/a2.htm""><img src=""http://da.feedsportal.com/r/219132806522/u/49/f/647410/c/35028/s/43276879/sc/4/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/219132806522/u/49/f/647410/c/35028/s/43276879/sc/4/a2t.img"" border=""0""/><img src=""//feeds.feedburner.com/~r/Slashdot/slashdot/~4/CDO-y5OVDwc"" height=""1"" width=""1"" alt=""""/>"
Two-Dimensional Silicon Makes Its Device Debut (pubs.acs),http://news.feedzilla.com/en_us/stories/science/420676111?client_source=api&format=json,"Materials: Silicene monolayers could help pave the way to faster, smaller
electronics

"
UN climate chief tempers expectation on Paris deal (co.nz),http://news.feedzilla.com/en_us/stories/science/420681378?client_source=api&format=json,"Tempering expectations on a global climate deal in Paris this year, the UN's
top climate diplomat has warned against assuming the pact will suffice to
prevent dangerous levels of warming.As negotiators prepare for a new round
of...

"
Whispers of Ecological Change in the Arctic Are Trying to Tell Us Something. Are We Listening? (Discover Magazine),http://news.feedzilla.com/en_us/stories/science/420875212?client_source=api&format=json,"Editor's note: This is a guest post by Avery McGaha, one of two master’s
students who joined me in Tromsø, Norway to attend the Arctic Frontiers
conference in January, 2014. It is supplemented with some additional reporting
by me. McGaha's trip was made possible by a grant from the University of
Colorado's Center for Environmental Journalism.  Following the recent
announcement by NASA and NOAA that 2014 was likely the hottest year on record
a loud controversy erupted over global warming.

"
